SKU,Description,Department,Class Name,Sub Class Name,dimx,dimy,dimz,weight,,Class,Conveyable Results,NSST Results,Override,Result,Zone,Daily Units,Daily Hits,Daily Cube,Slots,SKU,Min,Max,Heavy,Liquid,Ship-Ready,Bulk Locations,Desired Profile,Module,Slots,SKU,Min,Max,SKU Volume,Recalculated Max,Assigned Slot
215583,GLAC BAY WHT DUALFLSH TOILET 2PC,029B,32 - TOILETS & SEATS,7 - TOILETS,31.8,27.5,17.9,99,27.5,DFS,NC,BULK (Clamp),,BULK (Clamp),BK3,7.342465753,2.032876712,66.51368912,FALSE,215583,14.68493151,See Con,N,,N,20,IGNORE,IGNORE,IGNORE,215583,IGNORE,IGNORE,IGNORE,IGNORE,
1003572066,70 PD 6068 LOW-E SC IMPACT,30,28 - PATIO DOORS,8 - VINYL PATIO DOORS,6.5,82,76,180,76,DFS,NC,BULK (PJ),,BULK (PJ),BK1,2.539726027,1.194520548,59.53658676,FALSE,1003572066,5.079452055,See Con,N,,N,18,IGNORE,IGNORE,IGNORE,1003572066,IGNORE,IGNORE,IGNORE,IGNORE,
1002961068,STEEL FOLDING CHAIR - BEIGE,059S,7 - ORGANIZATION,17 - TABLE AND CHAIRS,19.25,16.125,38.875,77.04,19.25,DFS,NC,BULK (Clamp),,BULK (Clamp),BK3,6.060273973,0.076712329,42.32036252,FALSE,1002961068,12.12054795,See Con,N,,N,13,IGNORE,IGNORE,IGNORE,1002961068,IGNORE,IGNORE,IGNORE,IGNORE,
328448,ALEX PAINTERS WHITE 10.1 OZ,24,2 - CAULKS,2 - LATEX,48,46,40,1702,46,DFS,NC,BULK (PJ),,BULK (PJ),BK1,0.797260274,0.019178082,40.74885845,FALSE,328448,30,See Con,N,,N,12,IGNORE,IGNORE,IGNORE,328448,IGNORE,IGNORE,IGNORE,IGNORE,
686826,GB ELONGATED ALL-IN-ONE HET IN WHITE,029B,32 - TOILETS & SEATS,7 - TOILETS,31.69,27.87,17.01,99.5,27.87,DFS,NC,BULK (Clamp),,BULK (Clamp),BK3,4.049315068,0.808219178,35.20475716,FALSE,686826,8.098630137,See Con,N,,N,11,IGNORE,IGNORE,IGNORE,686826,IGNORE,IGNORE,IGNORE,IGNORE,
476814,SANTA ROSA WHITE ELG TOILET 1PC,029B,32 - TOILETS & SEATS,7 - TOILETS,31,29,20.75,109,29,DFC,NC,BULK (Clamp),,BULK (Clamp),BK3,3.145205479,2.263013699,33.95338502,FALSE,476814,12,See Con,N,,N,10,IGNORE,IGNORE,IGNORE,476814,IGNORE,IGNORE,IGNORE,IGNORE,
1003951328,"HIGHLINE ARC 2-PC, CH EB",029B,32 - TOILETS & SEATS,7 - TOILETS,30.5,27,16,103,27,DFC,NC,BULK (Clamp),,BULK (Clamp),BK3,4.394520548,2.235616438,33.50821918,FALSE,1003951328,18,See Con,N,,Y,10,IGNORE,IGNORE,IGNORE,1003951328,IGNORE,IGNORE,IGNORE,IGNORE,
207585,HDX 27 GALLON TOUGH TOTE,059S,16 - GARAGE/GENERAL ORGANIZE,2 - STORAGE TOTES,19.5,15.25,29,7.5,19.5,DFS,SR-CON,CF,SR-CON,SR-CON,SR2,6.679452055,0.915068493,33.33493032,FALSE,207585,3,17,N,,Y,0,SR,SR,1,207585,3,17,8623.875,17,
1002625761,HMDR1000WE MC10.1 CU.FT.TOP MOUNT WH,029A,13 - REFRIGERATION,2 - COMPACT REFRIGERATOR,27.6,62.79,25.2,130,27.6,DFS,NC,BULK (PJ),,BULK (PJ),BK1,1.145205479,0.783561644,28.94274945,FALSE,1002625761,5,See Con,N,,N,9,IGNORE,IGNORE,IGNORE,1002625761,IGNORE,IGNORE,IGNORE,IGNORE,
440809,VIGORO RIVER PEBBLES .5CU FT,028O,28 - HARDSCAPES,5 - LANDSCAPE ROCK,48,36,40,2700,40,DFS,NC,BULK (PJ),,BULK (PJ),BK1,0.706849315,0.065753425,28.2739726,FALSE,440809,64,See Con,N,,N,9,IGNORE,IGNORE,IGNORE,440809,IGNORE,IGNORE,IGNORE,IGNORE,
1001488133,HUSKY 36IN TALL CABINET,059S,16 - GARAGE/GENERAL ORGANIZE,5 - GARAGE CABINETS,20.27,14.44,72.44,143,20.27,DFC,NC,BULK (Clamp),,BULK (Clamp),BK3,2.180821918,2.180821918,26.75936779,FALSE,1001488133,5,See Con,N,,Y,8,IGNORE,IGNORE,IGNORE,1001488133,IGNORE,IGNORE,IGNORE,IGNORE,
1002693240,48K BTU STAINLESS STEEL PATIO HEATER,028I,20 - FIRE,20 - PATIO HEATERS,18.3,28.82,18.3,37.8,18.3,DFS,3-Deep,SR-CON,,3-Deep,CP2,4.265753425,0.052054795,23.82583698,1,1002693240,4,15,N,,N,0,Pallet Flow,2,1,1002693240,4,15,9651.5298,40,
340995,GLAC BAY RND HET TOILET 2PC,029B,32 - TOILETS & SEATS,7 - TOILETS,29.3,28.1,17.1,92,28.1,DFS,NC,BULK (Clamp),,BULK (Clamp),BK3,2.857534247,1.04109589,23.28186445,FALSE,340995,12,See Con,N,,N,7,IGNORE,IGNORE,IGNORE,340995,IGNORE,IGNORE,IGNORE,IGNORE,
631264,"GLACIER BAY 30"" VANITY COMBO WHT",029B,22 - VANITIES,10 - VANITY COMBOS,20.25,33.63,31.5,105,31.5,DFS,NC,BULK (Clamp),,BULK (Clamp),BK3,1.44109589,0.523287671,17.89005148,FALSE,631264,5,See Con,N,,N,6,IGNORE,IGNORE,IGNORE,631264,IGNORE,IGNORE,IGNORE,IGNORE,
929866,RIDGID 12 GAL WET/DRY VAC,025T,14 - WET DRY VACS,12 - MID CAPACITY,17.75,24.125,17.75,22,17.75,DFS,SR-CON,CF,SR-CON,SR-CON,SR2,4.043835616,3.106849315,17.78745407,FALSE,929866,4,20,N,,Y,0,SR,SR,1,929866,4,20,7600.882813,20,
440916,VIGORO POND PEBBLES .5CU FT,028O,28 - HARDSCAPES,5 - LANDSCAPE ROCK,40,34,48,2880,40,DFS,NC,BULK (PJ),,BULK (PJ),BK1,0.44109589,0.04109589,16.66362253,FALSE,440916,64,See Con,N,,N,5,IGNORE,IGNORE,IGNORE,440916,IGNORE,IGNORE,IGNORE,IGNORE,
1003425977,ELMBROOK COMPLETE SOLUTION ELG TOILE,029B,32 - TOILETS & SEATS,7 - TOILETS,31.7,26.78,17.1,114.75,26.78,DFC,NC,BULK (Clamp),,BULK (Clamp),BK3,1.928767123,1.04109589,16.20324511,FALSE,1003425977,12,See Con,N,,N,5,IGNORE,IGNORE,IGNORE,1003425977,IGNORE,IGNORE,IGNORE,IGNORE,
1003809313,WESTCOURT 61 IN. W BATH VANITY IN ST,029B,22 - VANITIES,10 - VANITY COMBOS,24.81,41.38,63.31,255.997,41.38,DFC,NC,BULK (PJ),,BULK (PJ),BK1,0.430136986,0.430136986,16.17903498,FALSE,1003809313,5,See Con,N,,N,5,IGNORE,IGNORE,IGNORE,1003809313,IGNORE,IGNORE,IGNORE,IGNORE,
