,Item,Prediction,Actual
0,"(1000696737.0, '30.25 IN. AB ENGINEERED COMPOSITE LI')",Pick Mod - Bin,SR - Full Pallet
1,"(1005022814.0, '23.5X28.5 FRAMD FOG FREE MIRROR-WHT')",Pick Mod - Bin,SR - Full Pallet
2,"(1002695579.0, 'ESSIE TOUCHLESS SINGLE-HANDLE PULL-D')",SR - Full Pallet,Pick Mod - Bin
3,"(1004686351.0, 'WELLWORTH ELG TOILET SEAT')",Pick Mod - Bin,Pick Mod - Carton Flow
4,"(1005652783.0, 'MKE M18 IMPACT WRENCH W/ FRICTION')",Pick Mod - Carton Flow,Pick Mod - Bin
5,"(1003532263.0, 'BUTCHER BLOCK 98 IN. X 4 IN. WOOD BA')",Cantilever,Oblong
6,"(1000670192.0, 'LARGE LOCKABLE RURAL MAILBOX BLACK')",Pick Mod - Carton Flow,SR - Full Pallet
7,"(409089.0, 'A&H POWDER OXI 264OZ')",Pick Mod - Carton Flow,Pick Mod - Bin
8,"(1005311530.0, '6 X 10 X 6 CHAIN LINK KENNEL')",Doors and Panels - Single Deep,Bulk Floor
9,"(1001321790.0, 'FLATLOK 6-3/4"" 12PK')",Pick Mod - Carton Flow,Pick Mod - Bin
10,"(1005448341.0, '36 IN. X 80 IN. LUMINAIRE BLACK RETR')",Oblong,Doors and Panels - Single Deep
11,"(1002651363.0, 'CALHOUN COLLECTION 3-LIGHT BRUSHED N')",Pick Mod - Carton Flow,SR - Full Pallet
12,"(1000308284.0, '4000 SERIES 120-VOLT 1/8 IN. CORDED')",Pick Mod - Carton Flow,Pick Mod - Bin
13,"(1001655065.0, 'HUSKY STACKABLE GARAGE STORAGE BIN')",Pick Mod - Carton Flow,SR - Full Pallet
14,"(1005725282.0, 'MKE M18 FUEL MULTI TOOL')",Pick Mod - Carton Flow,Pick Mod - Bin
15,"(510194.0, '16""X25""X1"" HOUSEHOLD PLEAT FLTR 3PK')",Pick Mod - Carton Flow,Pick Mod - Bin
16,"(1003168607.0, 'M18 12.0AH BATTERY')",Pick Mod - Carton Flow,Pick Mod - Bin
17,"(513359.0, 'DAMPRID MOISTURE ABSRB TUB-FRAG FREE')",Pick Mod - Carton Flow,Pick Mod - Bin
18,"(1003152108.0, 'GX75C - 3/4 HP MOEN GARBAGE DISPOSAL')",Pick Mod - Carton Flow,SR - Full Pallet
19,"(118594.0, '5/8""X50\' SWAN MEDIUM DUTY HOSE')",Pick Mod - Carton Flow,Pick Mod - Pallet Flow
20,"(1007472945.0, 'ASSEMBLED 9X30X12 IN. WALL CABINET I')",SR - Full Pallet,Pick Mod - Carton Flow
21,"(1000502836.0, '15K-25K BTU PROPANE CONVECTION HEATE')",Pick Mod - Carton Flow,SR - Full Pallet
22,"(1004698080.0, 'MINIBELTIS VICTORIAN WALL BLOCK')",Cantilever,Bulk Floor
23,"(1002948990.0, '6 IN LED RECESSED TRIM CCT LUMEN SEL')",Pick Mod - Bin,Pick Mod - Carton Flow
24,"(1005822238.0, 'RYOBI 18V HP BRUSHLESS 10"" CHAINSAW')",Pick Mod - Carton Flow,SR - Full Pallet
25,"(1000771914.0, 'TOILET TANK COVER IN WHITE')",Pick Mod - Carton Flow,SR - Full Pallet
26,"(1005072707.0, 'MACSTREET 1LT 9IN MATBLK WALLLNTRN')",Pick Mod - Bin,Pick Mod - Carton Flow
27,"(1001528901.0, 'DW 1/4 2.3AMP SHEET PALM SANDER')",Pick Mod - Bin,Pick Mod - Carton Flow
28,"(1002670574.0, 'JAO1501L-2 LED PATHWAY LIGHT BLACK')",Pick Mod - Bin,Pick Mod - Carton Flow
29,"(1003456565.0, '6IN LED RECESSED TRIM W/ NIGHT LIGHT')",Pick Mod - Bin,Pick Mod - Carton Flow
30,"(120706.0, '7/16 X2X9 PVC 2149 THRM STP WHITE')",Oblong,Cantilever
31,"(1002077233.0, 'DEMPSEY 44 IN. LOW PROFILE LED INDOO')",SR - Full Pallet,Pick Mod - Carton Flow
32,"(1005846828.0, 'SWIFFER SWEEPER XL DRY CLOTH 16CT')",Pick Mod - Bin,Pick Mod - Carton Flow
33,"(489948.0, '1/2"" (.700 OD) DRIP IRR TUBING 100\'')",Pick Mod - Pallet Flow,Pick Mod - Carton Flow
34,"(305728.0, 'METAL SHADE ZINC EXT LNTRN-DNI')",Pick Mod - Bin,Pick Mod - Carton Flow
35,"(1002624315.0, 'PERF 18KW SLF-MODULATING TANKLESS')",Pick Mod - Carton Flow,SR - Full Pallet
36,"(1000030726.0, 'STA-BIL 8 OZ ETHANOL FUEL TREATMENT')",Pick Mod - Bin,Pick Mod - Carton Flow
37,"(1003836517.0, 'DR. EARTH P&G HOME GROWN TOM & VEG')",Pick Mod - Bin,Pick Mod - Carton Flow
38,"(1003142018.0, 'GENTA 8"" 2HDL BATH FAUCET BN')",Pick Mod - Bin,Pick Mod - Carton Flow
39,"(1001536209.0, 'KS SIG MONTARA VB HANDLESET')",Pick Mod - Carton Flow,Pick Mod - Bin
40,"(1002713202.0, '22 IN. BLACK JUMBO DUST PAN')",SR - Full Pallet,Pick Mod - Carton Flow
41,"(1005135896.0, 'DEWALT TSTAK 44LB DEEPBOX W/FLAT TOP')",Pick Mod - Carton Flow,SR - Full Pallet
42,"(1005663501.0, 'ARBOR TOUCHLESS SINGLE-HANDLE PULL-D')",SR - Full Pallet,Pick Mod - Carton Flow
43,"(1003553170.0, 'LIFT-OFF ELONGATED CLOSED FRONT TOIL')",Pick Mod - Bin,Pick Mod - Carton Flow
44,"(891800.0, 'WM-WALL MAILSAFE LOCKABLE-BLK')",Pick Mod - Carton Flow,Pick Mod - Bin
45,"(1003278819.0, 'DEWALT FLEXVOLT 60V CHAINSAW')",SR - Full Pallet,Pick Mod - Carton Flow
46,"(1002844279.0, 'WHISPERSENSE DC FAN WITH MOTION AND')",Pick Mod - Carton Flow,SR - Full Pallet
47,"(1001085210.0, 'GB 24""X 30""BEVELED EDGE BATH MIRROR')",Pick Mod - Bin,SR - Full Pallet
48,"(1003318719.0, 'RYOBI 18V 200CFM BLOWER TOOL-ONLY')",SR - Full Pallet,Pick Mod - Carton Flow
49,"(571198.0, '14X24 RETURN AIR FILTER GRILLE')",Pick Mod - Bin,Pick Mod - Carton Flow
50,"(1002650724.0, '23X72 PVC MB CORDLESS-WHITE')",Pick Mod - Carton Flow,Pick Mod - Bin
51,"(1002727118.0, 'BLACK OUTDOOR INTEGRATED LED LANDSCA')",Pick Mod - Bin,Pick Mod - Carton Flow
52,"(1004687603.0, ""14' MULTI POSITION LADDER 300LB DUTY"")",Doors and Panels - Single Deep,Bulk Floor
53,"(1002925479.0, 'STONEWOOD ROUND CLOSED FRONT TOILET')",Pick Mod - Carton Flow,Pick Mod - Bin
54,"(397745.0, '3.5"" X7"" RUMBLESTONE MINI, SIERRA')",Oblong,Bulk Floor
55,"(491914.0, 'MRS MEYERS DISH LEMVERB 16OZ')",Pick Mod - Bin,Pick Mod - Carton Flow
56,"(503642.0, 'RIDGID HI-EFFCNY FLTR - 3-4.5G+ VACS')",Pick Mod - Bin,Pick Mod - Carton Flow
57,"(326734.0, 'POWERCARE 2 CYCLE OIL: 6.4OZ 50:1')",Pick Mod - Bin,Pick Mod - Carton Flow
58,"(1000050934.0, 'MKE M12 2PK BATTERIES 3.0AH')",Pick Mod - Bin,Pick Mod - Carton Flow
59,"(1001773023.0, 'MKE M18 FUEL 1"" SDS+ D-HANDLE RH')",Pick Mod - Bin,Pick Mod - Carton Flow
60,"(767925.0, ""4' FG STEP LADDER TI 250LB"")",Bulk Floor,Doors and Panels - Single Deep
61,"(1004820687.0, '24 FT. SOLAR INDOOR/OUTDOOR PARTY LE')",Pick Mod - Bin,Pick Mod - Carton Flow
62,"(929281.0, 'BATTOP IONIZATION SMOKE CONTRACTOR')",Pick Mod - Carton Flow,Pick Mod - Bin
63,"(1004956750.0, '5/6IN T20 RL56 LEDRETROFT 600L CCTSE')",Pick Mod - Bin,Pick Mod - Carton Flow
64,"(1006209489.0, '2.3-AMP 8-INCH 5-SPEED BENCHTOP DRIL')",SR - Full Pallet,Pick Mod - Carton Flow
65,"(1004583354.0, 'SLIPCOVER SET  CG STONE GRAY')",Pick Mod - Bin,SR - Full Pallet
66,"(1002211272.0, 'LADERA SINGLE-HANDLE 3-SPRAY TUB AND')",Pick Mod - Carton Flow,Pick Mod - Bin
67,"(1001419930.0, 'TRADITNAL SHWR TRACK 48-60"" NICKEL')",Oblong,Doors and Panels - Single Deep
68,"(1000000659.0, 'DRIP EXPANSION AND REPAIR KIT')",Pick Mod - Carton Flow,Pick Mod - Bin
69,"(1005866515.0, 'TOUGHSYSTEM 2.0 DEEP FOAM TOOL DRAWE')",Pick Mod - Bin,Pick Mod - Carton Flow
