,Item,Prediction,Actual
0,"(1001492033.0, 'GLADIATOR 4FT GEAR WALL PANEL 2/PK')",Bulk Floor,Oblong
1,"(1004264355.0, 'STANLEY FOLDING SAWHORSE 2-PK')",Pick Mod - Carton Flow,SR - Full Pallet
2,"(1000123703.0, '20 IN. X 24 IN. X 1 IN. ODOR, ALLERG')",SR - Full Pallet,SR - Half Pallet
3,"(117745.0, 'DW 7 AMP 4-1/2"" GRINDER')",Pick Mod - Bin,Pick Mod - Carton Flow
4,"(902351.0, 'DOUBLE DRAFT STOP')",Pick Mod - Bin,Pick Mod - Carton Flow
5,"(350438.0, 'UNGER 36"" NIFTY NABBER')",SR - Full Pallet,Pick Mod - Carton Flow
6,"(1003892200.0, 'MAK 18V BL 2 PC 3.0AH DRL/IMP KIT')",Pick Mod - Bin,Pick Mod - Carton Flow
7,"(1004460283.0, 'RYOBI 40V LEAF VACUUM TOOL-ONLY')",SR - Full Pallet,Pick Mod - Carton Flow
8,"(550436.0, 'SUPREME WAINSCOT PAINTABLE WHT PNL')",Oblong,Bulk Floor
9,"(891800.0, 'WM-WALL MAILSAFE LOCKABLE-BLK')",Pick Mod - Carton Flow,Pick Mod - Bin
10,"(1001868894.0, 'ZEP HD DEGREASER CITRUS 448OZ')",SR - Full Pallet,Pick Mod - Bin
11,"(1004038866.0, 'NUTONE 80 CFM 0.8 SONE LED CLEAN CVR')",Pick Mod - Carton Flow,SR - Full Pallet
12,"(1000249515.0, '52 IN. REBAR CUTTER AND BENDER')",Bulk Floor,Doors and Panels - Single Deep
13,"(1003930971.0, 'MKE COMBO SAE WRENCH SET 15PC')",Pick Mod - Carton Flow,Pick Mod - Bin
14,"(1004773318.0, 'DEWALT 20V BRUSHED TRIMMER TL-ONLY')",Pick Mod - Carton Flow,SR - Full Pallet
15,"(1005065122.0, 'PREM BLACK OIL SUNFLOWER BIRD 40LB')",Doors and Panels - Single Deep,Bulk Floor
16,"(1001251858.0, 'MIRAGE WAINSCOT 32X48 PRIMED')",Oblong,Bulk Floor
17,"(1005822238.0, 'RYOBI 18V HP BRUSHLESS 10"" CHAINSAW')",Pick Mod - Carton Flow,SR - Full Pallet
18,"(1005577931.0, 'DW 20V BL 6 1/2 CIRC SAW')",Pick Mod - Bin,Pick Mod - Carton Flow
19,"(924681.0, '14""X8"" 3-WAY WALL/CEIL REGISTER')",Pick Mod - Carton Flow,Pick Mod - Bin
20,"(1004097792.0, '3X36X0.75 IN. CABINET FILLER IN UNFI')",SR - Full Pallet,Pick Mod - Bin
21,"(354720.0, '5/8""X100\' TEKNOR MEDIUM DUTY HOSE')",Pick Mod - Carton Flow,SR - Full Pallet
22,"(1000671794.0, '28-PIECE ALL PURPOSE ICE HARDENED HO')",Pick Mod - Bin,Pick Mod - Carton Flow
23,"(1003896186.0, '5""X48"" GUTTERFOAM FR')",Pick Mod - Carton Flow,SR - Full Pallet
24,"(1002099122.0, '8 FT. 4-LIGHT WHITE INDUSTRIAL LED W')",Oblong,Cantilever
25,"(1003390363.0, 'HUSKY DRAWER LINER')",Pick Mod - Bin,Pick Mod - Carton Flow
26,"(1002692149.0, '3/4"" UNDERGROUND METER RISER BENT')",SR - Full Pallet,SR - Half Pallet
27,"(1005663314.0, '6 FT X 1.5"" HEVEA BUTCHER BLOCK')",Bulk Floor,Doors and Panels - Single Deep
28,"(1004407073.0, 'LYSOL DISINFECT AERO LINEN 12.5OZ')",Pick Mod - Bin,Pick Mod - Carton Flow
29,"(1003578026.0, 'MAKITA 18V CORDLESS HEDGE TOOL ONLY')",SR - Full Pallet,Pick Mod - Carton Flow
30,"(1002713202.0, '22 IN. BLACK JUMBO DUST PAN')",SR - Full Pallet,Pick Mod - Carton Flow
