,ZONE,AISLE,BAY,LVL,LOCATION,LOCATION_TYPE,PERM / TEMP,LOC WIDTH,LOC LENGTH,LOC HEIGHT,CURR MIN,CURR MAX,SKU,DESCRIPTION,UNIT HEIGHT,UNIT WIDTH,UNIT LENGTH,UNIT WEIGHT,UNIT VOLUME,PACK FLAG,DAILY UNITS,DAILY CUBIC VELOCITY,DAILY HITS,WAVE TASK (4 WEEKS),LEAN TASK (4 WEEKS),TOTAL TASK (4 WEEKS),WEEK 1 UNITS (NEWEST),WEEK 2 UNITS,WEEK 3 UNITS,WEEK 4 UNITS (OLDEST),WEEKLY AVERAGE,ON-HAND INVENTORY,Weight > 35,LV,IV,DS
543,BK1,13,134,,BK1-013-134,Bulk Floor,T,96.0,144.0,192.0,40.0,400.0,811467.0,"54"" 4 RING TOMATO CAGE",54.0,16.2,16.2,2.47,14171.76,HRP,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,40,No,2654208.0,5668704.0,-3014496.0
577,BK1,13,178,,BK1-013-178,Bulk Floor,T,96.0,144.0,192.0,128.0,384.0,894665.0,"42"" HVDTY TOMATO CAGE GREEN",42.0,16.3,16.3,2.0,11158.98,HRP,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,192,No,2654208.0,4285048.32,-1630840.3200000003
594,BK1,13,200,,BK1-013-200,Bulk Floor,T,96.0,144.0,192.0,120.0,360.0,1001703000.0,"54"" HVDTY TOMATO CAGE GREEN",54.0,16.2,16.2,2.8,14171.76,,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,280,No,2654208.0,5101833.6,-2447625.5999999996
885,BK3,70,92,,BK3-070-092,Bulk Floor,T,48.0,144.0,192.0,0.0,160.0,768816.0,8' FG STEP LADDER TI 250LB,97.0,25.0,6.5,25.0,15762.5,SR,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,116,No,1327104.0,2522000.0,-1194896.0
979,BK3,71,108,,BK3-071-108,Bulk Floor,T,48.0,144.0,192.0,8.0,54.0,305175.0,RUBBERMAID HORIZONTAL STORAGE SHED,13.062,48.875,63.5,92.81,40538.7333,SR,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,7,Yes,1327104.0,2189091.5982,-861987.5981999999
1021,BK3,71,150,,BK3-071-150,Bulk Floor,T,48.0,144.0,192.0,12.0,64.0,1000035246.0,50GAL/40K BTU GAS TALL PERF+ W/H N3,65.0,22.7,26.3,154.0,38805.65,SR,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,2,Yes,1327104.0,2483561.6,-1156457.6
1480,CN1,80,68,A,CN1-080-068-A01,Cantilever,T,108.0,52.0,39.5,1.0,103.0,689930.0,"2""X10' GAL PIPE",4.4,4.4,120.0,4.4,2323.2,,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,8,No,221832.0,239289.59999999998,-17457.599999999977
1497,CN1,80,74,C,CN1-080-074-C01,Cantilever,T,17.0,97.0,15.0,0.0,47.0,1001819330.0,"SPEE-D CHANNEL DRN 4""X10' W/ MTL GR",4.0,5.85,119.95,26.98,2806.83,,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,4,No,24735.0,131921.01,-107186.01000000001
1918,CP1,1,5,C,CP1-001-005-C04,Pick Mod - Carton Flow,P,10.5,100.0,14.5,6.0,24.0,1005022749.0,HDX GERMICIDAL BLEACH 81OZ,11.95,9.8,5.65,12.59,661.6715,,0.0,0.0,0.0,0,1,1,0,0,0,0,0.0,36,No,15225.0,15880.116000000002,-655.1160000000018
1938,CP1,1,6,B,CP1-001-006-B06,Pick Mod - Carton Flow,P,10.5,100.0,14.5,4.0,48.0,870268.0,LYSOL APC LEMON BREEZE 144OZ,6.0,7.0,13.5,3.5,567.0,,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,8,No,15225.0,27216.0,-11991.0
